words,frequency,relative_frequency,type
flatbread,138,0.027479091995221028,others
infuse,138,0.027479091995221028,techniques
cheesecake,138,0.027479091995221028,others
dress,138,0.027479091995221028,others
berry,137,0.027279968140183193,others
baked,136,0.027080844285145362,others
rough,136,0.027080844285145362,others
peppercorn,135,0.026881720430107527,others
parcel,135,0.026881720430107527,others
texture,135,0.026881720430107527,others
outside,134,0.026682596575069693,others
9,134,0.026682596575069693,others
harissa,134,0.026682596575069693,others
rag,133,0.02648347272003186,others
dollop,133,0.02648347272003186,others
continuously,133,0.02648347272003186,others
bottomed,132,0.026284348864994027,others
lengthway,131,0.026085225009956192,others
buttermilk,130,0.025886101154918358,others
50,129,0.025686977299880526,others
belly,129,0.025686977299880526,others
feel,129,0.025686977299880526,others
maple,129,0.025686977299880526,others
100ml/3,128,0.025487853444842692,others
fragrant,128,0.025487853444842692,others
oats,128,0.025487853444842692,others
frozen,128,0.025487853444842692,ingredients
cup,128,0.025487853444842692,others
170c/150c,127,0.025288729589804857,others
close,127,0.025288729589804857,others
stop,127,0.025288729589804857,others
apricot,127,0.025288729589804857,others
third,126,0.025089605734767026,others
char,126,0.025089605734767026,others
salsa,126,0.025089605734767026,others
chutney,124,0.024691358024691357,others
coated,124,0.024691358024691357,others
feta,124,0.024691358024691357,ingredients
desire,123,0.024492234169653525,others
parsnip,123,0.024492234169653525,others
halve,123,0.024492234169653525,others
soon,122,0.02429311031461569,others
tap,122,0.02429311031461569,others
raisin,122,0.02429311031461569,others
single,122,0.02429311031461569,others
bite,122,0.02429311031461569,others
sprig,122,0.02429311031461569,others
18,122,0.02429311031461569,others
beetroot,122,0.02429311031461569,others
pistachio,121,0.024093986459577856,others
air,121,0.024093986459577856,techniques
pull,120,0.023894862604540025,others
carve,120,0.023894862604540025,others
well,119,0.02369573874950219,others
straight,119,0.02369573874950219,others
pickle,119,0.02369573874950219,techniques
handful,119,0.02369573874950219,others
lie,118,0.023496614894464356,others
right,118,0.023496614894464356,others
adjust,117,0.023297491039426525,others
60,117,0.023297491039426525,others
cutlet,117,0.023297491039426525,others
lb,116,0.02309836718438869,others
plain,116,0.02309836718438869,others
  ,116,0.02309836718438869,others
rocket,116,0.02309836718438869,others
